idx,GroupCount,Percent,actual_story
4,7,19.4444444444444,story_12/social
2,7,19.4444444444444,story_17/probability
4,7,19.4444444444444,story_5/probability
7,7,19.4444444444444,story_7/moral
2,13,19.1176470588235,story_23/social
2,7,18.9189189189189,story_14/approach_avoid
4,7,18.9189189189189,story_14/approach_avoid
9,6,18.75,story_1/moral
4,12,18.75,story_13/probability
2,3,18.75,story_19/probability
3,3,18.75,story_19/probability
4,6,18.75,story_23/probability
1,3,18.75,story_27/moral
3,2,18.1818181818182,story_24/old_approach_avoid
4,2,18.1818181818182,story_6/old_approach_avoid
2,2,18.1818181818182,story_9/old_approach_avoid
7,13,18.0555555555556,story_10/moral
4,5,17.8571428571429,story_2/moral
2,10,17.8571428571429,story_28/moral
2,11,17.741935483871,story_19/social
4,14,17.5,story_24/social
7,7,17.5,story_3/moral
7,16,17.3913043478261,story_2/super
7,16,17.3913043478261,story_9/super
2,11,17.1875,story_13/probability
4,11,17.1875,story_7/social
4,26,16.9934640522876,story_24/approach_avoid
4,10,16.9491525423729,story_20/approach_avoid
4,20,16.8067226890756,story_19/approach_avoid
2,2,16.6666666666667,story_1/social
4,2,16.6666666666667,story_1/social
4,2,16.6666666666667,story_11/approach_avoid
7,2,16.6666666666667,story_11/approach_avoid
2,4,16.6666666666667,story_13/approach_avoid
4,4,16.6666666666667,story_13/approach_avoid
1,6,16.6666666666667,story_14/probability
2,4,16.6666666666667,story_14/social
1,6,16.6666666666667,story_17/probability
4,10,16.6666666666667,story_21/probability
2,6,16.6666666666667,story_22/social
1,2,16.6666666666667,story_3/old_approach_avoid
2,4,16.6666666666667,story_4/moral
15,6,16.6666666666667,story_4/probability
2,6,16.6666666666667,story_5/probability
4,10,16.6666666666667,story_6/approach_avoid
9,1,16.6666666666667,story_8/old_approach_avoid
3,6,16.6666666666667,story_8/probability
2,14,16.6666666666667,story_8/super
4,106,16.4086687306502,story_cost/old_approach_avoid
2,11,16.1764705882353,story_14/moral
4,11,16.1764705882353,story_14/moral
4,20,16.1290322580645,story_16/approach_avoid
4,10,16.1290322580645,story_23/approach_avoid
4,9,16.0714285714286,story_28/moral
4,14,15.9090909090909,story_3/super
1,102,15.7894736842105,story_cost/old_approach_avoid
2,10,15.625,story_17/social
4,10,15.625,story_17/social
4,5,15.625,story_20/moral
9,5,15.625,story_4/approach_avoid
4,5,15.625,story_5/moral
7,5,15.625,story_5/moral
4,11,15.2777777777778,story_10/moral
2,11,15.2777777777778,story_3/probability
2,11,15.2777777777778,story_3/social
4,18,15.1260504201681,story_5/approach_avoid
2,6,15,story_15/probability
2,9,15,story_21/probability
2,3,15,story_21/social
3,3,15,story_21/social
4,6,15,story_24/probability
9,3,15,story_9/social
15,13,14.7727272727273,story_1/super
4,10,14.7058823529412,story_2/social
4,10,14.7058823529412,story_20/probability
4,10,14.7058823529412,story_9/probability
4,9,14.5161290322581,story_19/social
4,11,14.4736842105263,story_13/social
4,2,14.2857142857143,story_10/old_approach_avoid
3,1,14.2857142857143,story_17/old_approach_avoid
2,1,14.2857142857143,story_18/old_approach_avoid
3,1,14.2857142857143,story_18/old_approach_avoid
4,1,14.2857142857143,story_18/old_approach_avoid
2,2,14.2857142857143,story_19/old_approach_avoid
1,1,14.2857142857143,story_2/old_approach_avoid
2,1,14.2857142857143,story_2/old_approach_avoid
1,1,14.2857142857143,story_20/old_approach_avoid
3,1,14.2857142857143,story_20/old_approach_avoid
4,1,14.2857142857143,story_20/old_approach_avoid
11,1,14.2857142857143,story_20/old_approach_avoid
2,12,14.2857142857143,story_4/super
2,4,14.2857142857143,story_9/moral
1,9,14.0625,story_13/probability
3,15,14.018691588785,story_18/approach_avoid
2,5,13.8888888888889,story_11/social
4,20,13.8888888888889,story_12/approach_avoid
4,5,13.8888888888889,story_14/probability
4,5,13.8888888888889,story_22/probability
4,10,13.8888888888889,story_3/social
3,6,13.6363636363636,story_25/moral
4,19,13.5714285714286,story_1/approach_avoid
4,2,13.3333333333333,story_15/social
1,8,13.3333333333333,story_21/probability
2,8,13.3333333333333,story_6/approach_avoid
4,16,13.3333333333333,story_9/approach_avoid
4,9,13.2352941176471,story_20/social
7,9,13.2352941176471,story_23/social
15,11,13.0952380952381,story_4/super
15,11,13.0952380952381,story_6/super
3,11,13.0952380952381,story_8/super
4,14,13.0841121495327,story_18/approach_avoid
3,8,12.9032258064516,story_23/approach_avoid
3,4,12.5,story_1/moral
4,4,12.5,story_1/moral
15,4,12.5,story_1/moral
2,1,12.5,story_1/old_approach_avoid
4,1,12.5,story_1/old_approach_avoid
4,15,12.5,story_10/approach_avoid
2,9,12.5,story_10/moral
3,1,12.5,story_10/probability
7,1,12.5,story_10/probability
4,4,12.5,story_10/social
12,1,12.5,story_11/moral
1,1,12.5,story_11/probability
15,1,12.5,story_11/probability
1,1,12.5,story_12/probability
1,4,12.5,story_13/moral
1,3,12.5,story_14/social
2,1,12.5,story_16/moral
3,1,12.5,story_16/moral
4,1,12.5,story_16/moral
1,4,12.5,story_16/probability
1,4,12.5,story_20/moral
2,4,12.5,story_20/moral
3,2,12.5,story_23/moral
4,2,12.5,story_23/moral
7,2,12.5,story_23/moral
2,10,12.5,story_24/social
7,10,12.5,story_24/social
4,3,12.5,story_4/moral
2,5,12.1951219512195,story_8/social
3,14,11.5702479338843,story_7/approach_avoid
